participant_id	non_native_prod_total_rater2	non_native_count_rater2	non_native_prod_avg_rater2
sub-pp001	332	34	9.76470588235294
sub-pp003	337	38	8.86842105263158
sub-pp004	400	38	10.5263157894737
sub-pp005	367	33	11.1212121212121
sub-pp006	236	29	8.13793103448276
sub-pp007	365	38	9.60526315789474
sub-pp008	338	38	8.89473684210526
sub-pp009	353	38	9.28947368421053
sub-pp010	341	36	9.47222222222222
sub-pp011	345	35	9.85714285714286
sub-pp012	364	38	9.57894736842105
sub-pp013	404	38	10.6315789473684
sub-pp018	377	38	9.92105263157895
sub-pp019	407	38	10.7105263157895
sub-pp020	294	38	7.73684210526316
sub-pp021	327	38	8.60526315789474
sub-pp022	347	38	9.13157894736842
sub-pp023	165	36	4.58333333333333
sub-pp024	367	38	9.6578947368421
sub-pp025	370	38	9.73684210526316
sub-pp026	301	38	7.92105263157895
sub-pp027	n/a	0	n/a
sub-pp030	48	5	9.6
sub-pp031	337	36	9.36111111111111
sub-pp032	283	34	8.32352941176471
sub-pp033	439	35	12.5428571428571
sub-pp035	367	38	9.6578947368421
sub-pp036	494	38	13
sub-pp038	360	35	10.2857142857143
sub-pp039	424	37	11.4594594594595
sub-pp042	327	37	8.83783783783784
sub-pp043	378	38	9.94736842105263
sub-pp044	458	35	13.0857142857143
sub-pp045	216	32	6.75
sub-pp046	264	35	7.54285714285714
sub-pp048	579	38	15.2368421052632
sub-pp050	321	36	8.91666666666667
sub-pp052	328	38	8.63157894736842
sub-pp053	536	37	14.4864864864865
sub-pp054	359	38	9.44736842105263
sub-pp067	341	38	8.97368421052632
sub-pp068	347	37	9.37837837837838
sub-pp069	352	38	9.26315789473684
sub-pp072	396	38	10.4210526315789
sub-pp073	n/a	0	n/a
sub-pp074	348	37	9.4054054054054
sub-pp076	338	37	9.13513513513514
sub-pp077	399	38	10.5
sub-pp078	305	36	8.47222222222222
sub-pp083	316	35	9.02857142857143
sub-pp085	332	38	8.73684210526316
sub-pp088	333	36	9.25
sub-pp091	241	38	6.3421052631579
sub-pp092	520	36	14.4444444444444
sub-pp093	332	38	8.73684210526316
sub-pp094	513	37	13.8648648648649
sub-pp095	317	37	8.56756756756757
sub-pp099	370	35	10.5714285714286
sub-pp105	344	37	9.2972972972973
sub-pp106	385	38	10.1315789473684
sub-pp107	379	38	9.97368421052632
sub-pp108	325	37	8.78378378378378
sub-pp110	354	36	9.83333333333333
sub-pp111	327	38	8.60526315789474
sub-pp112	404	38	10.6315789473684
sub-pp114	401	38	10.5526315789474
sub-pp115	426	38	11.2105263157895
sub-pp116	161	35	4.6
sub-pp117	382	34	11.2352941176471
sub-pp118	290	31	9.35483870967742
sub-pp119	390	38	10.2631578947368
sub-pp120	283	35	8.08571428571429
sub-pp124	351	38	9.23684210526316
sub-pp125	344	38	9.05263157894737
sub-pp126	304	35	8.68571428571429
sub-pp127	266	34	7.82352941176471
sub-pp128	218	37	5.89189189189189
sub-pp129	321	38	8.44736842105263
sub-pp133	513	38	13.5
sub-pp135	456	37	12.3243243243243
sub-pp137	532	38	14
sub-pp145	396	38	10.4210526315789
sub-pp147	339	38	8.92105263157895
sub-pp149	454	38	11.9473684210526
sub-pp150	438	38	11.5263157894737
sub-pp151	353	37	9.54054054054054
sub-pp152	347	37	9.37837837837838
sub-pp155	474	38	12.4736842105263
sub-pp156	421	37	11.3783783783784
sub-pp158	347	37	9.37837837837838
sub-pp159	349	38	9.18421052631579
sub-pp160	337	38	8.86842105263158
sub-pp161	330	38	8.68421052631579
sub-pp162	546	38	14.3684210526316
sub-pp163	300	38	7.89473684210526
sub-pp164	415	38	10.9210526315789
sub-pp166	289	36	8.02777777777778
sub-pp168	393	38	10.3421052631579
sub-pp169	410	38	10.7894736842105
sub-pp170	287	38	7.55263157894737
sub-pp171	362	38	9.52631578947368
